name,company,price,save
Max Payne Bundle [Online Game Code],Rockstar Games,$4.49 ,70%
Max Payne 3 Rockstar Pass [Online Game Code],Rockstar Games,$4.49 ,70%
Prey - PC,Bethesda Softworks,  $24,0%
Final Fantasy XI: Ultimate Collection Seekers Edition [Online Game Code],SQUARE ENIX USA,$29.99,0%
Wolfenstein The Two-Pack Bundle - PC,Bethesda Softworks,  $19,33%
Final Fantasy Power Pack (III + IV + VII + VIII + XIII) [Online Game Codes],SQUARE ENIX USA,$59.95,17%



page 6Mortal Kombat XL Pack [Online Game Code],Warner Brothers,$24.99,0%
Mortal Kombat XL [Online Game Code],Warner Brothers,$29.99,0%
Mortal Kombat X Kombat Pack 2 [Online Game Code],Warner Brothers,$19.99,0%
The SIMS 3: Expansion Pack Bundle PC Game,Electronic Arts,$22.11,18%
Final Fantasy XI: Seekers of Adoulin [Game Download],SQUARE ENIX USA,$9.99 ,0%
Mortal Kombat X - Kombat Pack [Online Game Codes],Warner Brothers,$9.99 ,0%
Vanquish - Standard Edition [Online Game Code],Sega,$16.99,15%
Mortal Kombat X Premium Edition [Online Game Codes],Warner Brothers,$49.99,0%
Bayonetta [Online Game Code],Sega,$16.99,15%
Fallout 4 Game of the Year Edition - PC,Bethesda Softworks,  $59,0%
Your Shape PC Game,Ubisoft,$44.45,16%
Dead Island Riptide PC Game,Deep Silver Inc.,$13.40,0%
Mortal Kombat X [Online Game Code],Warner Brothers,$19.99,0%
Alien: Isolation Season Pass[Online Game Code],Sega,$19.99,0%
Tom Clancy's Rainbow Six Siege - Racer JTF2 Pack [Online Game Code],Ubisoft,$6.99 ,0%
Dead Cells [Online Game Code],Plugin Digital,$24.99,0%
Tom Clancy's Rainbow Six Siege - Kapkan's Assassin's Creed Set [Online Game Code],Ubisoft,$6.99 ,0%
Pester [Online Game Code], ,$0.99 ,0%
Alien: Isolation[Online Game Code],Sega,$39.99,0%
Alien: Isolation: The Collection [Online Game Code],Sega,$49.99,0%
Princess and the Frog PC Game,Disney Interactive Studios,  $23,0%
Sims 3 University Life PC Game,Electronic Arts,  $19,0%
Alien: Isolation - Safe Haven [Online Game Code],Sega,$7.99 ,0%
Alien: Isolation - The Trigger [Online Game Code],Sega,$7.99 ,0%
Alien: Isolation - Lost Contact [Online Game Code],Sega,$7.99 ,0%
Alien: Isolation - Last Survivor [Online Game Code],Sega,$3.99 ,0%
Alien: Isolation - Crew Expendable [Online Game Code],Sega,$3.99 ,0%
Alien: Isolation - Trauma [Online Game Code],Sega,$7.99 ,0%
Alien: Isolation - Corporate Lockdown [Online Game Code],Sega,$7.99 ,0%
Bully: Scholarship Edition [Online Game Code],Rockstar Games,$5.24 ,65%
WWE 2K19 Deluxe [Online Game Code],2K GAMES,$89.99,0%
Borderlands: The Pre-Sequel The Handsome Jack Doppleganger Pack [Online Game Code],2K GAMES,$9.99 ,0%
Sudden Strike 4 Software - PC Games,Kalypso Media,  $52,0%
Star Wars Battlefront II - PC (Physical Key Code - No Disc),Electronic Arts,$32.65,16%
Borderlands: The Pre-Sequel DLC 4: Claptastic Voyage and Ultimate Vault Hunter Upgrade Pack 2 [Online Game Code],2K GAMES,$9.99 ,0%
Borderlands: The Pre-Sequel Lady Hammerlock The Baroness [Online Game Code],2K GAMES,$9.99 ,0%



page 7FINAL FANTASY VIII [Online Game Code],SQUARE ENIX USA,$9.99 ,17%
Borderlands: The Pre-Sequel Ultimate Vault Hunter Upgrade Pack: The Holodome Onslaught [Online Game Code],2K GAMES,$9.99 ,0%
Mortal Kombat Arcade Kollection [Online Game Code],Warner Brothers,$9.99 ,0%
Borderlands: The Pre-Sequel Season Pass [Online Game Code],2K GAMES,$29.99,0%
Borderlands: The Pre-Sequel [Online Game Code],2K GAMES,$39.99,0%
Assassin's Creed Rogue [Online Game Code],Ubisoft,$19.99,0%
Batman: Arkham Origin Season Pass [Online Game Code],Warner Brothers,$19.99,0%
LEGO Ninjago Movie Video Game [Online Game Code],Warner Brothers,$19.99,0%
Borderlands 2: Ultimate Vault Hunter Upgrade Pack 2: Digistruct Peak Challenge [Online Game Code],2K GAMES,$4.99 ,0%
NBA 2K15 PC Game,2K GAMES,  $42,0%
Assassin's Creed Rogue Time Saver Collectibles Pack [Online Game Code],Ubisoft,$0.99 ,0%
Assassin's Creed Rogue Time Saver Activities Pack [Online Game Code],Ubisoft,$0.99 ,0%
Assassin's Creed Rogue Time Saver Technology Pack [Online Game Code],Ubisoft,$1.99 ,0%
Assassin's Creed Rogue Templar Legacy Pack [Online Game Code],Ubisoft,$6.99 ,0%
Assassin's Creed Rogue Time Saver Resources Pack [Online Game Code],Ubisoft,$1.99 ,0%
Assassin's Creed Rogue Deluxe Edition [Online Game Code],Ubisoft,$29.99,0%
Grand Theft Auto Online: Tiger Shark Cash Card [PC Digital Code],Rockstar Games,$4.99 ,0%
Grand Theft Auto Online: Whale Shark Cash Card [PC Digital Code],Rockstar Games,$49.99,0%
Grand Theft Auto Online: Bull Shark Cash Card [PC Digital Code],Rockstar Games,$9.99 ,0%
Grand Theft Auto Online: Red Shark Cash Card [PC Digital Code],Rockstar Games,$2.99 ,0%
Doom - PC,Bethesda Softworks,  $29,0%
Batman: Arkham City Game of The Year Edition [Online Game Code],Warner Brothers,$19.99,0%
Batman: Arkham Asylum Game of The Year Edition [Online Game Code],Warner Brothers,$19.99,0%
Overcooked - The Lost Morsel [Online Game Code],Team 17 Digital,$4.99 ,0%
Call of Juarez: The Cartel PC Game,Ubisoft,  $49,0%
Batman Triple Pack (Arkham Asylum GOTY + Arkham City GOTY + Origins) [Online Game Codes],Warner Brothers,$69.99,0%
Batman: Arkham Origin [Online Game Code],Warner Brothers,$19.99,0%
Batman: Arkham Origins Blackgate - Deluxe Edition [Online Game Code],Warner Brothers,$19.99,0%
Batman: Arkham Origin: Cold Cold Heart DLC [Online Game Code],Warner Brothers,$9.99 ,0%
Lost Secrets: Ancient Mysteries PC Game,Activision,  $19,0%
Grand Theft Auto Online: Great White Shark Cash Card [PC Digital Code],Rockstar Games,$19.99,0%
Darksiders II PC Game,THQ,  $52,0%
Overcooked [Online Game Code],Team 17 Digital,$16.99,0%
Batman: Arkham Origins: New Millennium Skins Pack DLC [Online Game Code],Warner Brothers,$4.99 ,0%
Batman: Arkham Origins: Initiation DLC [Online Game Code],Warner Brothers,$6.99 ,0%
Tom Clancy's Rainbow Six Siege - Racer Spetsnaz Pack [Online Game Code],Ubisoft,$6.99 ,0%



page 8Grand Theft Auto IV: Complete Edition [Online Game Code],Rockstar Games,$8.99 ,70%
Disney Universe PC Game,Disney Interactive Studios,  $29,0%
Tom Clancy's Rainbow Six Siege - Racer SAS Pack [Online Game Code],Ubisoft,$6.99 ,0%
Prey [Online Game Code],Bethesda Softworks,$24.99,17%
Wolfenstein: The New Order [Online Game Code],Bethesda Softworks,$19.99,0%
Wolfenstein: The Old Blood [Online Game Code],Bethesda Softworks,$19.99,0%
Zhu Zhu Pets PC Game,Activision,$7.75 ,50%
Tom Clancy's Rainbow Six Siege - Gemstone Bundle DLC [Online Game Code],Ubisoft,$12.99,13%
LA Noire: The VR Case Files [Online Game Code],Rockstar Games,$29.99,0%
Rainbow Six Siege - Topaz DLC [Online Game Code],Ubisoft,$2.99 ,0%
Neopets PC Game,Capcom,  $22,0%
Rainbow Six Siege - Platinum DLC [Online Game Code],Ubisoft,$2.99 ,0%
Far Cry 3 [Online Game Code],Ubisoft,$16.99,15%
LA Noire: DLC Bundle [Online Game Code],Rockstar Games,$4.19 ,65%
Rainbow Six Siege - Cobalt DLC [Online Game Code],Ubisoft,$2.99 ,0%
LA Noire [Online Game Code],Rockstar Games,$6.99 ,65%
Rainbow Six Siege - Emerald DLC [Online Game Code],Ubisoft,$2.99 ,0%
Tom Clancy's The Division Underground [Online Game Code],Ubisoft,$14.99,0%
LA Noire Complete Edition [Online Game Code],Rockstar Games,$8.99 ,70%
Rainbow Six Siege - Safari Bundle DLC [Online Game Code],Ubisoft,$4.99 ,0%
The Elder Scrolls Online: Morrowind - PC / Mac,Bethesda Softworks,  $19,0%
Tom Clancy's Rainbow Six Siege - Ruby DLC [Online Game Code],Ubisoft,$2.99 ,0%
Jakers! Let's Explore PC Game, ,$24.93,17%
Tom Clancy's Rainbow Six Siege - Amethyst [Online Game Code],Ubisoft,$2.99 ,0%
Just Cause 3 XL Edition [Online Game Code],SQUARE ENIX USA,$44.99,0%
Tom Clancy's The Division Sports Fan Outfits Pack DLC [Online Game Code],Ubisoft,$4.99 ,0%
Tom Clancy's The Division Frontline Outfits Pack DLC [Online Game Code],Ubisoft,$4.99 ,0%
Tom Clancy's The Division Marine Forces Pack [Online Game Code],Ubisoft,$4.99 ,0%
Tom Clancy's The Division Military Outfit Pack [Online Game Code],Ubisoft,$4.99 ,0%
TOM CLANCY'S Rainbow Six SIEGE Gold Edition [Online Game Code],Ubisoft,$66.99,16%
Tom Clancy's The Division Season Pass [Online Game Code],Ubisoft,$33.99,15%
TOM CLANCY'S Rainbow Six SIEGE [Online Game Code],Ubisoft,$32.99,18%
Mortal Kombat Komplete Edition [Online Game Code],Warner Brothers,$19.99,0%
The Sims 3: Island Paradise PC Game,Electronic Arts,  $19,0%
Far Cry 3 Deluxe Edition [Online Game Code],Ubisoft,$24.99,17%
Jagged Alliance: Crossfire PC Game,Kalypso Media,  $33,0%



page 9Grand Theft Auto: San Andreas [Online Game Code],Rockstar Games,$5.24 ,65%
Tomb Raider [Online Game Code],SQUARE ENIX USA,$19.99,0%
Dishonored 2 - PC,Bethesda Softworks,  $19,0%
Lego Marvel's Avengers [Online Game Code],Warner Brothers,$19.99,0%
LEGO Marvel Avengers - Deluxe [Online Game Code],Warner Brothers,$29.99,0%
Warner Brothers 1000739976 The LEGO Movie 2 Playstation 4 XONE Videogame,Warner Brothers,  $39,0%
Deus Ex: Game Of The Year Edition [Online Game Code],SQUARE ENIX USA,$6.99 ,0%
The Club PC Game,Sega,  $32,0%
FINAL FANTASY VII [Online Game Code],SQUARE ENIX USA,$9.99 ,17%
Tom Clancy's The Division [Online Game Code],Ubisoft,$41.99,16%
Tomb Raider Game of the Year [Online Game Code],SQUARE ENIX USA,$29.99,0%
Thief: Master Edition [Online Game Code],SQUARE ENIX USA,$32.99,0%
Thief [Online Game Code],SQUARE ENIX USA,$29.99,0%
Assassin's Creed III [Online Game Code],Ubisoft,$19.99,0%
Assassin's Creed Brotherhood [Online Game Code],Ubisoft,$19.99,0%
Assassin's Creed Brotherhood Deluxe Edition [Online Game Code],Ubisoft,$29.99,0%
Final Fantasy XIII [Online Game Code],SQUARE ENIX USA,$15.99,0%
Sonic Mania [Online Game Code],Sega,$19.99,0%
Tom Clancy's Rainbow Six Vegas 2 [Online Game Code],Ubisoft,$8.99 ,10%
Life is Strange Complete Season [Online Game Code],SQUARE ENIX USA,$19.99,0%
The Crew DLC 5 - Raid Car Pack [Online Game Code],Ubisoft,$6.99 ,0%
LEGO Marvel Super Heroes: Super Pack DLC [Online Game Code],Warner Brothers,$4.99 ,0%
LEGO Marvel Super Heroes: Asgard DLC [Online Game Code],Warner Brothers,$1.99 ,0%
Assassin's Creed III Deluxe Edition (includes DLCs #0 to #5) [Online Game Code],Ubisoft,$49.99,0%
The Crew Season Pass [Online Game Code],Ubisoft,$24.99,0%
LEGO Marvel Super Heroes [Online Game Code],Warner Brothers,$19.99,0%
Far Cry 4 [Online Game Code],Ubisoft,$24.99,17%
The Crew DLC 4 Vintage Car Pack [Online Game Code],Ubisoft,$6.99 ,0%
Blazblue Centralfiction [Online Game Code], ,$7.99 ,80%
The Crew DLC 3 Speed Car Pack [Online Game Code],Ubisoft,$6.99 ,0%
Grand Theft Auto IV [Online Game Code],Rockstar Games,$6.99 ,65%
The Crew DLC 2 Street Edition Pack [Online Game Code],Ubisoft,$6.99 ,0%
The Crew DLC 1 Extreme Car Pack [Online Game Code],Ubisoft,$6.99 ,0%
The LEGO Movie - Videogame [Online Game Code],Warner Brothers,$19.99,0%
Sonic and SEGA All-Stars Racing Transformed [Online Game Code],Sega,$19.99,0%
BlazBlue: Centralficton - Jubei DLC [Online Game Code], ,$2.49 ,69%



page 10Brothers In Arms Triple Pack (Earned In Blood Hell's Highway Road To Hill 30) [Online Game Codes],Ubisoft,$24.99,17%
Evolve [Online Game Code],2K GAMES,$39.99,0%
BlazBlue: Calamity Trigger [Online Game Code], ,$1.49 ,85%
Injustice 2 [Online Game Code],Warner Brothers,$49.99,0%
GTA IV/ GTA SA Bundle [Online Game Code],Rockstar Games,$34.99,0%
Metro: Last Light Redux [Online Game Code],Deep Silver Inc.,$19.99,0%
Human: Fall Flat [Online Game Code],Curve Digital,$14.99,0%
Dishonored: Deluxe Bundle [Online Game Code],Bethesda Softworks,$59.99,0%
Grand Theft Auto III [Online Game Code],Rockstar Games,$3.49 ,65%
Dishonored: Complete Collection [Online Game Code],Bethesda Softworks,$79.99,0%
Yooka-Laylee [Online Game Code],Team 17 Digital,$39.99,0%
Yooka-Laylee Digital Deluxe Edition [Online Game Code],Team 17 Digital,$49.99,0%
LEGO Worlds: Classic Space Pack [Online Game Code],Warner Brothers,$3.99 ,0%
DOOM VFR [Online Game Code],Bethesda Softworks,$29.99,0%
BlazBlue: Chronophantasma Extend [Online Game Code], ,$3.99 ,87%
Rocksmith 2014 (no cable) [Online Game Code],Ubisoft,$33.99,15%
Mafia II Digital Deluxe [Online Game Code],2K GAMES,$39.99,0%
The Evil Within 2 [Online Game Code],Bethesda Softworks,$59.99,0%
Dishonored: Death of the Outsider [Online Game Code],Bethesda Softworks,$29.99,0%
Life is Strange: Before the Storm Deluxe Edition [Online Game Code],SQUARE ENIX USA,$24.99,0%
Life is Strange: Before the Storm [Online Game Code],SQUARE ENIX USA,$16.99,0%
BlazBlue: Continuum Shift Extend [Online Game Code], ,$2.99 ,85%
Mafia II War Hero Pack [Online Game Code],2K GAMES,$2.99 ,0%
Mafia II Vegas Pack [Online Game Code],2K GAMES,$2.99 ,0%
Mafia II Jimmy's Vendetta [Online Game Code],2K GAMES,$9.99 ,0%
Mafia II Joe's Adventures [Online Game Code],2K GAMES,$9.99 ,0%
Mafia II Greaser Pack [Online Game Code],2K GAMES,$2.99 ,0%
NBA 2K18 Standard Edition [Online Game Code],2K GAMES,$59.99,0%
NBA 2K18 Legend Edition Gold [Online Game Code],2K GAMES,$149.9,0%
NBA 2K18 Legend Edition [Online Game Code],2K GAMES,$99.99,0%
The Elder Scrolls IV: Oblivion Game of the Year Edition [Online Game Code],Bethesda Softworks,$6.39 ,57%
The Elder Scrolls IV: Oblivion Game of the Year Edition Deluxe [Online Game Code],Bethesda Softworks,$8.49 ,58%
Sonic Forces - Standard Edition [Online Game Code],Sega,$30.99,23%
World of Warcraft: Legion - PC,Blizzard,  $49,0%
RAGE [Online Game Code],Bethesda Softworks,$9.99 ,0%
Far Cry 4 Season Pass [Online Game Code],Ubisoft,$24.99,17%



page 11